frame,x_0,y_0,z_0,v_0,x_1,y_1,z_1,v_1,x_2,y_2,z_2,v_2,x_3,y_3,z_3,v_3,x_4,y_4,z_4,v_4,x_5,y_5,z_5,v_5,x_6,y_6,z_6,v_6,x_7,y_7,z_7,v_7,x_8,y_8,z_8,v_8,x_9,y_9,z_9,v_9,x_10,y_10,z_10,v_10,x_11,y_11,z_11,v_11,x_12,y_12,z_12,v_12,x_13,y_13,z_13,v_13,x_14,y_14,z_14,v_14,x_15,y_15,z_15,v_15,x_16,y_16,z_16,v_16,x_17,y_17,z_17,v_17,x_18,y_18,z_18,v_18,x_19,y_19,z_19,v_19,x_20,y_20,z_20,v_20,x_21,y_21,z_21,v_21,x_22,y_22,z_22,v_22,x_23,y_23,z_23,v_23,x_24,y_24,z_24,v_24,x_25,y_25,z_25,v_25,x_26,y_26,z_26,v_26,x_27,y_27,z_27,v_27,x_28,y_28,z_28,v_28,x_29,y_29,z_29,v_29,x_30,y_30,z_30,v_30,x_31,y_31,z_31,v_31,x_32,y_32,z_32,v_32
0,-0.037194041694913804,-0.019460506098611052,0.025151227121906605,0.9998425841331482,-0.0294552419866837,-0.02741977146693636,0.0006427302216511967,0.9998379349708556,-0.026729771920612877,-0.027821130411965544,0.00046044574035989885,0.9998551607131958,-0.024105597393853317,-0.028163034575326207,0.00033426087050291613,0.9998538494110109,-0.03177500537463607,-0.027143013477325395,0.0411874454867627,0.9997732043266296,-0.031024438142776556,-0.027328469072069483,0.0412889649293252,0.999741554260254,-0.030467478718076868,-0.027389293909072965,0.041134973389229605,0.9996973276138306,-0.006451737029211868,-0.02595532706805631,-0.03642562084964337,0.9998039603233336,-0.01948009133338946,-0.0239191940852575,0.1307662363563265,0.9995208978652954,-0.027037788288933995,-0.01429467201232909,0.012204361683689054,0.9997791051864624,-0.030947926214763055,-0.01375678692545218,0.06419342405029702,0.999663472175598,0.012201756238937267,-0.009536162444523322,-0.2181051484176091,0.9999779462814332,-0.012201756238937267,0.009536162444523322,0.2799380451440812,0.9992029070854188,0.021405787978853175,0.05008144463811581,-0.3355040984494344,0.988696813583374,-0.0075853730951036535,0.07227040444101612,0.3049902830805097,0.8446834683418274,-0.014917614630290399,0.1351462585585459,-0.3223024206502097,0.987942099571228,-0.016587435347693358,0.1321084499359132,0.23646357783249441,0.8409026265144348,-0.02355342507362379,0.15148043291909363,-0.35569076282637463,0.9770918488502502,-0.013360995054245262,0.1502293263162886,0.2696604358298438,0.8155516982078552,-0.032945286376135696,0.15139131886618495,-0.3217979277883258,0.9769699573516846,-0.02750204205513007,0.1482175673757279,0.21677324771881107,0.819429874420166,-0.03000610470771803,0.14594582489558616,-0.3028651893138886,0.9711350798606871,-0.029021216290337715,0.14378878899982994,0.21356845838682986,0.8150525689125061,0.023033161674226976,0.13565572500228884,-0.16241585740021297,0.9995929598808287,2.9534101486206055e-05,0.14510981355394614,0.1623877099582127,0.9990862011909484,0.030317324399948165,0.24652951615197327,-0.13626849438462932,0.984286367893219,0.008100137540272057,0.24360018968582142,0.17358805026326854,0.9057973623275756,0.04493756890296885,0.3557417733328684,-0.1042992574828011,0.974094808101654,0.037482081992285754,0.3509766936302182,0.24133350849151625,0.9080542325973512,0.07169790523392794,0.3725214685712541,-0.0978159755468368,0.8017586469650269,0.06246082356997884,0.3693760616438734,0.24695650892598284,0.7080014944076538,-0.01676130379949292,0.4085921934672765,-0.1542882565941129,0.9689724445343018,-0.03618359991482312,0.3986057911600388,0.21357711787734704,0.9152421951293944
1,-0.052952046053750035,-0.02470167534691947,0.009527976677886052,0.9996102452278136,-0.04467010327747889,-0.03321277414049417,-0.014863332361814426,0.999630570411682,-0.04186278411320277,-0.03371390955788739,-0.014986369586716022,0.999658703804016,-0.03883406775338305,-0.03422470944268363,-0.015054622194397103,0.9996797442436218,-0.04661309037889749,-0.03270776271820064,0.02554588683747816,0.9994592070579528,-0.045241808891296365,-0.0328839353152684,0.025606238043733978,0.9993577003479004,-0.04371703352246992,-0.03303110599517828,0.025512960060898694,0.999335765838623,-0.017991498538425743,-0.032426600796835736,-0.0684396491519042,0.9995460510253906,-0.0247012138366699,-0.03053807360785349,0.11795164516993928,0.998632788658142,-0.04123046057564872,-0.018937551975250266,-0.003921623108908534,0.999283730983734,-0.04407421520778099,-0.01803158862250187,0.04771408875073698,0.9989051222801208,0.003982651233673029,-0.007667414631162217,-0.24000146729605543,0.9999540448188782,-0.003982651233672918,0.007667414631162273,0.25807727575302125,0.9986040592193604,0.00826916013445167,0.05543405073029645,-0.33480409894670754,0.9888560175895692,0.006252024854932703,0.07223335249083385,0.29222169944218224,0.7673519849777222,-0.02869581154414569,0.1284079739025662,-0.303246282679694,0.984167456626892,-0.007017997332981585,0.12613481283187877,0.21550737406526288,0.7629283666610718,-0.03733257055282602,0.1441319244248529,-0.3403650803225381,0.9702614545822144,-0.0070853948593141425,0.14388518163136077,0.23746622715677526,0.7416278719902039,-0.044392529555729254,0.14362759419849946,-0.30249157718249725,0.9697754383087158,-0.019786512851715066,0.14237314632960707,0.18740795850753786,0.7450228929519653,-0.04138406515121451,0.1387754729815892,-0.2884138464927673,0.9624608159065248,-0.01995451109749924,0.1371883460453578,0.19264802762440267,0.7413427233695984,0.01418103490556999,0.12953777313232417,-0.16395302500043593,0.9989349246025084,0.005654203891754195,0.13445123774664736,0.1639051858867917,0.9977633953094482,0.01842465400695814,0.23470113447734298,-0.14937869565827505,0.976300060749054,0.01148600408009115,0.2322304844856261,0.15282804923398147,0.833729088306427,0.051249039173126065,0.3388301559856961,-0.11068694080625256,0.9631969928741456,0.04938106877463233,0.3307812452316282,0.22019449472427371,0.8444833755493164,0.07902629545756745,0.35662729910441804,-0.105955322086811,0.8119576573371887,0.07405443702425285,0.3511916943958828,0.22397492698260707,0.6874285340309143,-0.02474987166268472,0.37140883547919135,-0.18758925625256126,0.9619075059890748,-0.031837315218788964,0.3627834303038464,0.16015036510569697,0.8674477338790894
2,-0.062182273183550185,-0.028444232685225335,0.005322500052196616,0.9995735883712769,-0.05357905285699027,-0.03738409408501209,-0.019246641658745407,0.9995856285095216,-0.050756105354854086,-0.03789642070020949,-0.019331680283981474,0.9996151328086852,-0.047589986664908324,-0.03846110914434703,-0.019360080153481687,0.9996448159217834,-0.055246506418500596,-0.036851552128791765,0.021932315134576327,0.9993922114372252,-0.05354177951812744,-0.03703965672424858,0.021967985374586902,0.9992712140083312,-0.05150865486689982,-0.037265935540199246,0.02191336224121699,0.9992676973342896,-0.025454051154000457,-0.036837620820317885,-0.08384085393377703,0.9995056390762328,-0.028025507926940918,-0.03539343263421735,0.11289588106530046,0.9984787106513976,-0.04995912824358262,-0.022010788321495056,-0.01021082764491437,0.9992305636405944,-0.05212866408484329,-0.021028617875916533,0.04229751655033647,0.9987936615943908,-0.0013962626457214578,-0.006177550128528053,-0.2508328416517801,0.9999557733535768,0.0013962626457214578,0.006177550128528053,0.24948986470699294,0.998457968235016,0.0005614382880073654,0.05817954753126414,-0.3320030910628181,0.9896655082702636,0.014973279408046158,0.07139488841806141,0.2872323776994431,0.6971185207366943,-0.03741498334067217,0.12383970490523749,-0.2904350680964332,0.9847145080566406,-0.0023710557392665477,0.12228341400623316,0.20794533661433617,0.6923157572746277,-0.04561691284179692,0.13957251948969712,-0.32986989872796174,0.970960259437561,-0.0051572680473328525,0.13976840930325646,0.22248860725334696,0.6742860674858093,-0.051560265677315864,0.13883445220334195,-0.2929093156542095,0.9703941941261292,-0.017330706119537354,0.1388861124004636,0.17478594183921803,0.6773503422737122,-0.04874076843261721,0.13424475320747925,-0.27848980426788317,0.9628564715385436,-0.01680191074098858,0.1333140896899359,0.1851840670619691,0.6743839383125305,0.00842351743153158,0.12546046078205103,-0.1641681807381765,0.9987428784370422,0.010130202770233132,0.12743280913148608,0.1640824088028498,0.9970602989196776,0.011191904544830322,0.2261645619358335,-0.1555985233613422,0.9713447690010072,0.013277110031672756,0.22447325289249415,0.14132588420595432,0.7685446739196777,0.05443028211593626,0.32816610804625906,-0.11473031810351769,0.955941081047058,0.05566129173551282,0.3185178786516189,0.20451806783676132,0.7812358140945435,0.08180826050894596,0.34652910871165127,-0.11181194484233845,0.8200598359107971,0.0795220596449715,0.33986983767577567,0.20626377505915489,0.6534948945045471,-0.028471534592764747,0.34949300076280315,-0.2105961080108369,0.9555392265319824,-0.02675318888255529,0.3408823962722504,0.12556618068899417,0.8141246438026428
3,-0.06329069478171212,-0.02997171665940962,0.023169572358684807,0.9995914697647096,-0.05503799574715751,-0.03944705171244478,-0.0019134371441656129,0.9995990991592408,-0.05237394401005335,-0.03981939085892261,-0.0019918769897360787,0.9996259212493896,-0.04951247317450391,-0.040235585400036356,-0.002000839575859047,0.9996576905250548,-0.05653787510735653,-0.039277137603078494,0.0410314563528767,0.999417006969452,-0.054913779667445595,-0.03957379162311547,0.041059902150716046,0.9992971420288086,-0.05298600537436349,-0.03994514558996465,0.041012296865561085,0.9993008375167848,-0.028773851054055388,-0.038587227463722173,-0.06842006253344661,0.9995293021202089,-0.029784439291272835,-0.038342714735439765,0.11832766979932777,0.99853777885437,-0.05222445556095667,-0.02270892219884052,0.0018173675285651995,0.9992659687995912,-0.05431352853775029,-0.022184097341128695,0.05658087421740797,0.9988412857055664,-0.0031839523996626262,-0.005096673539706664,-0.23981619179248795,0.9999585151672364,0.003183952399662515,0.005096673539706664,0.2588480779102869,0.9984256029129028,-0.0010384014674595932,0.05698765303407399,-0.3225670490946087,0.9904847741127014,0.01613837821143005,0.06903730332851415,0.29035509143556854,0.6328607201576233,-0.03974449975149974,0.12231683177607405,-0.29034474577222535,0.9854939579963684,-0.005433407851627936,0.12181051416056493,0.21768135471003383,0.6276213526725769,-0.04669784648077824,0.13933160603046418,-0.32965723531586766,0.9721183776855468,-0.010386569159371528,0.13937544780118122,0.22984578226293823,0.6122918725013733,-0.05325859785079956,0.13859539840902596,-0.3017199524811334,0.9714760184288024,-0.024028096880231664,0.1396434336900711,0.18412414704050326,0.6151512861251831,-0.05109351192201883,0.1335543611219951,-0.2777043453284671,0.9637259244918824,-0.02360544545309884,0.13402350417205272,0.19524873197078696,0.6129171252250671,0.005738803318568575,0.12385894869055064,-0.15970889798232474,0.9986671805381776,0.013190536839621347,0.12511502802371982,0.15955244728497084,0.996716856956482,0.008859445367540575,0.2221227863005229,-0.1517113310950142,0.9693409204483032,0.012162130219595668,0.22178282184260228,0.13614616053444994,0.7235518097877502,0.05228247642517081,0.3262696687664303,-0.11913226693868623,0.954648494720459,0.05371361970901478,0.317203351003783,0.18743576151984062,0.7400667071342468,0.07643409967422476,0.3449076052222932,-0.11869898991925364,0.8309888243675232,0.07605270147323595,0.33828925873552035,0.18612847541059752,0.6370821595191956,-0.026688751152583512,0.34974299456392005,-0.2236290224960871,0.9545127749443054,-0.020977228028433714,0.3393583480800901,0.10500756310565121,0.7826560735702515
4,-0.06236292464392523,-0.03212469347885677,0.022621712833642914,0.9996161460876464,-0.053592465605054596,-0.04132419271128518,-0.003093984459493591,0.9996203780174256,-0.0509309717587062,-0.04168567444596977,-0.0031599649253101422,0.999644935131073,-0.04819522925785613,-0.042074373364448525,-0.0031601840081358565,0.9996769428253174,-0.05505148853574482,-0.041134566494396785,0.04243778682180805,0.999451756477356,-0.05351532016481675,-0.0413846497024809,0.042474458153758644,0.9993382096290588,-0.05178238664354595,-0.041688979097775025,0.042438584566116266,0.9993471503257751,-0.028518494537898453,-0.039713186451366955,-0.07618820518255222,0.9995595812797546,-0.029288775580269988,-0.0397834262677601,0.12329499742814462,0.9986295700073242,-0.05206165654318673,-0.024098237497465924,-0.00022271840966174374,0.999313473701477,-0.053931806768689805,-0.02338443866797857,0.05759698418634272,0.9989126324653624,-0.004133839266640793,-0.004297806961195805,-0.2498544650418416,0.9999617338180542,0.004133839266640793,0.004297806961195805,0.2689815883125576,0.998480498790741,0.00046311957495548395,0.05694767875330781,-0.3252914309501646,0.9911338090896606,0.01830668619700837,0.06800985038280483,0.30088960528373704,0.5741136074066162,-0.04073223216193067,0.12097333627087725,-0.27778080531529004,0.9857852458953856,-0.007825914451054183,0.12012030013969965,0.23016001539570927,0.5684046745300293,-0.04706878662109382,0.13812948422772542,-0.31771492106573906,0.9724166393280028,-0.013469173227037778,0.1370096389736447,0.23988617701189846,0.5554993152618408,-0.054303308895656044,0.13736970382077351,-0.2954134004456655,0.9716086387634276,-0.026954507827758878,0.13766885782991134,0.19553750881126938,0.5581640601158142,-0.052340989453452,0.13249602275235306,-0.26733199272836944,0.9630039930343628,-0.026028306143624502,0.13255091692720133,0.2075906987701142,0.5565664768218994,0.005823114940098351,0.12349469789436873,-0.16386199891567219,0.9986477494239808,0.014861636502402131,0.12401034959724966,0.16365006310599176,0.996565580368042,0.00993557316916327,0.21876001656055444,-0.1508622667619159,0.9659569263458252,0.012001337323869876,0.21929621143000455,0.1493811058146612,0.6741471290588379,0.05222844226019718,0.3249525866338183,-0.11735861556870586,0.9524063467979432,0.05220924786158965,0.31607993287699543,0.19563077645642402,0.6982254981994629,0.07513393674577973,0.34327519408294116,-0.11816620997020168,0.8393003344535828,0.07263408558709272,0.3363697967358996,0.19343484767845684,0.6187400817871094,-0.025003101144518203,0.3479535064526965,-0.23053803827081396,0.95254647731781,-0.015758398600987045,0.33579473452908637,0.11723609524113784,0.7517777681350708
5,-0.06225891028131758,-0.034653783270290894,0.02057117085371693,0.999642252922058,-0.05292130453245991,-0.04315964111260001,-0.007038074961331248,0.9996450543403624,-0.05011341656957358,-0.04348979294300076,-0.007101297847527419,0.9996685981750488,-0.047329665081841665,-0.04382142722606652,-0.0071041896872754366,0.9996994137763976,-0.05436304211616516,-0.04307779882635382,0.04079983213118135,0.9994894862174988,-0.0528549475329263,-0.04332051490034372,0.04083611720374643,0.9993845224380492,-0.05116034661020552,-0.04359302393027714,0.04078527774129588,0.999395489692688,-0.027967695678983495,-0.04073195500033239,-0.08898293567555278,0.999594509601593,-0.029028501680919194,-0.0408278333289282,0.12371923710618687,0.9987313151359558,-0.0526321283408574,-0.02646984500544408,-0.004377087208974555,0.9993669986724854,-0.054591067348207734,-0.02580920500414713,0.05625053080064902,0.9989920258522034,-0.004295544113431693,-0.0037626500640596805,-0.2633825859853198,0.9999650120735168,0.004295544113431582,0.003762650064059625,0.27451725176402486,0.998531699180603,0.002243335757936671,0.057214304804801885,-0.3374224024159566,0.9917370080947876,0.024789131539208475,0.06852637231349945,0.31258312378610864,0.5205954909324646,-0.039907032251358054,0.12005117067268911,-0.29028214727129237,0.9859418272972108,-0.0003347848142897236,0.11914844470364705,0.2402802518435885,0.514631450176239,-0.04665326305798123,0.13747128035340994,-0.3309210572923931,0.9725487232208252,-0.0073054219995226655,0.135368167928287,0.24750023058482568,0.5038925409317017,-0.0541367948055268,0.13669502181666238,-0.3128689459392001,0.9715633392333984,-0.02012096898896354,0.13597641970430097,0.20364073216915118,0.5064275860786438,-0.05189984611102516,0.1321843773126602,-0.2805369641099656,0.961877465248108,-0.019802247626440894,0.1315952671425683,0.21750744538647773,0.5053392052650452,0.006315741368702388,0.12472808659076695,-0.1690990456512995,0.9986680150032043,0.016424893481390757,0.1250170601265771,0.16885917314461285,0.9964221119880676,0.010482167346136828,0.21792174194540292,-0.15001187665121882,0.9631109237670898,0.011349486453192448,0.21872149152415132,0.16219842135906207,0.6303117871284485,0.05285055211612144,0.3257947576897484,-0.11555634353842044,0.9521356225013732,0.050985469988414134,0.3173499801329204,0.2102130442857741,0.6636688113212585,0.07606952445847637,0.3433609004531587,-0.11743216557162138,0.8470252752304077,0.07112508075577861,0.3370207458734511,0.20816012918949112,0.6063166260719299,-0.02481459804943631,0.347264568720545,-0.23807575574942985,0.9522804021835328,-0.014835821730749932,0.3359699432338986,0.1315456656473023,0.7304903864860535
6,-0.06084444011960699,-0.035470751779419996,0.01868132576346392,0.9996464848518372,-0.05113697392599914,-0.043661738719258936,-0.010697025332566555,0.9996427297592164,-0.04830399070467262,-0.0440336350883756,-0.01076452819148205,0.999669075012207,-0.045574418136051675,-0.04436961114406579,-0.010773020974426886,0.9997034668922424,-0.05304101364953162,-0.04363593757152551,0.03875807374715797,0.999496579170227,-0.05176055431365956,-0.04396261615412572,0.038791519722768175,0.999392569065094,-0.05026490858622956,-0.04428626171180178,0.038719072192907274,0.999409556388855,-0.02658989940370826,-0.040741712280682074,-0.09615790673664627,0.9996142983436584,-0.028548501219068156,-0.04066495256764541,0.12424932782139088,0.9987682104110718,-0.051800549030303844,-0.02752839113984784,-0.0070475028061731644,0.9993963837623596,-0.05416625908442896,-0.02683576047420494,0.05581084947500901,0.9990273714065552,-0.0040825894900730075,-0.0037870998893465013,-0.27190124179635716,0.9999679923057556,0.0040825894900731186,0.003787099889346557,0.281790267569678,0.9985616207122804,0.0035585318292891133,0.05673160169805802,-0.35330917664936595,0.9922912120819092,0.02992821420942038,0.06928406400339948,0.32346438935824784,0.4736207723617553,-0.03880430459976192,0.11921271298612868,-0.3166633929525101,0.9862457513809204,0.008623402459280838,0.1191631661994117,0.24803221864359704,0.4675514996051788,-0.04640102216175612,0.13710230631487708,-0.35815726263182485,0.9729923605918884,0.0028669731957572386,0.13368180862494883,0.2531803101301192,0.4589550793170929,-0.0539328319685799,0.13646729205335895,-0.3445018734250748,0.9718031883239746,-0.009737331526620041,0.1354565863098417,0.2098131150007246,0.4614136815071106,-0.05136646543230328,0.13216788981642047,-0.3075633023466381,0.9611520171165466,-0.009124842711857317,0.13042718214648108,0.2251364729234149,0.4608126878738403,0.007610876219613316,0.12623465103762488,-0.17445095096315646,0.998651385307312,0.016851357051304472,0.12651195909295765,0.17420073279312667,0.9961385726928712,0.010267775399344314,0.2183454449687685,-0.15643189166273377,0.9616321325302124,0.010290377480643209,0.21890821669782912,0.17495997335229588,0.5960837602615356,0.053591791221073715,0.3271051649536404,-0.12700824503387714,0.952036440372467,0.050336383070264556,0.31769991133894226,0.22368445268699086,0.6369285583496094,0.07648246458598551,0.3444868551833288,-0.1303090774587221,0.8538247346878052,0.07009235109601708,0.3372153201273509,0.22210493726389738,0.5988301038742065,-0.024423447677067278,0.3478434243372508,-0.2585880888359886,0.95187109708786,-0.015315893718174434,0.3371998348406382,0.143517605960369,0.7152155637741089
7,-0.059656561272484865,-0.03447478924478803,0.023528222792914884,0.9996392130851746,-0.049945115191595835,-0.04281871574265611,-0.007278993087155445,0.9996296167373656,-0.04717316712651931,-0.043180761166981274,-0.007354909713779151,0.9996615648269652,-0.04458514366831101,-0.04351903200149537,-0.007369930802711403,0.9997007250785828,-0.05211935639381404,-0.04285986082894461,0.04295755103230469,0.9994852542877196,-0.050960277659552466,-0.04322878292628696,0.04299043981092312,0.9993773698806764,-0.04959197470120014,-0.0436213425227574,0.042900234780141225,0.9994010925292968,-0.026022523641586304,-0.04028677174023215,-0.093100630385535,0.9996268153190612,-0.02825282045773092,-0.04000568049294606,0.12785916881901868,0.9987608790397644,-0.0506871197904859,-0.02699727926935469,-0.003344509079137688,0.9994102120399476,-0.05338213188307617,-0.026665861265999957,0.06093285190207605,0.9990253448486328,-0.004831875222069848,-0.003958966050829182,-0.26929255042757294,0.9999707341194152,0.004831875222069959,0.003958966050829182,0.28880864807537604,0.9985573291778564,0.003439503908157393,0.055830232586179473,-0.35729856235640367,0.9927653670310974,0.03248015216418676,0.07002494846071511,0.331868939740317,0.4299282431602478,-0.038441755941935885,0.11857410073280333,-0.3302323486123765,0.986348569393158,0.010934338399342103,0.12054876344544535,0.25609745638711096,0.4244253039360046,-0.046524494886398315,0.13695291706493912,-0.3725342197077613,0.9731416702270508,0.007292324304580711,0.13272257106644764,0.26125573558466764,0.4178694784641266,-0.05387717400278358,0.13663991945130477,-0.36145305122647947,0.9717340469360352,-0.00449476327214926,0.13560022711753844,0.21724737840039374,0.4202158451080322,-0.05126249364444191,0.1324533828667231,-0.32182685307094006,0.9600809812545776,-0.00479762298720221,0.13003442542893545,0.2329162022897174,0.4200322031974792,0.008633706399372665,0.1264329016208648,-0.17560043462685163,0.9986777901649476,0.018637981585093888,0.12689228483608778,0.17536170440060744,0.995946168899536,0.010029597793306588,0.2182011033807481,-0.15977841360228395,0.9600719809532166,0.01048272422381813,0.21865336298942556,0.17830443084239947,0.5619240999221802,0.054160090003694816,0.3270722482885631,-0.13121349279369618,0.952235221862793,0.05159311890602114,0.3171059685094015,0.22728287449904833,0.6103821396827698,0.07665935669626511,0.3445782601833342,-0.13474425886358518,0.8608340620994568,0.07122449960027422,0.33673376781599845,0.22598002425261896,0.5917307734489441,-0.023671363932745826,0.34789721369743337,-0.2637995370796747,0.9518662691116332,-0.013887043510164454,0.33641688057354496,0.14591512126581996,0.7000920176506042
8,-0.05945659961019234,-0.03292859622410366,0.026806026058537546,0.9996377825737,-0.050151887110301385,-0.041479183094842054,-0.004391299374401529,0.999623477458954,-0.047604985748018525,-0.041856173958097154,-0.004472347162663921,0.9996587634086608,-0.04521183541842866,-0.0421981036663055,-0.004489547479897718,0.999701201915741,-0.052199093784604744,-0.041438064404896335,0.04616049230098718,0.9994811415672302,-0.05103852323123381,-0.04180019838469362,0.04620056641953327,0.9993699193000792,-0.0497025072574615,-0.042196976287024346,0.04610971169812331,0.999399185180664,-0.02668611747877936,-0.03930745550564352,-0.09096866101026525,0.9996413588523864,-0.028634196519851662,-0.03892737201281954,0.13076552918979087,0.9987658858299256,-0.05040348853383736,-0.025565683841705267,-0.0005411384622025778,0.9994266033172609,-0.053013012238911195,-0.025244006088801785,0.06414370334574143,0.9990359544754028,-0.006263589007513781,-0.0041521915367671025,-0.2686196139880588,0.9999732375144958,0.006263589007513892,0.0041521915367671025,0.2919853508472441,0.99856299161911,0.0026790320873261164,0.05519016299928936,-0.35610502873148214,0.9932217597961426,0.03206183484622416,0.070682007925851,0.3367522341864448,0.3902519047260284,-0.03823261175836834,0.11856109329632353,-0.3246426377977642,0.986746907234192,0.004827200514929686,0.12212207913398737,0.26087010460240484,0.3854063153266907,-0.04642418367522094,0.1372182088238852,-0.36691616688455836,0.9737949967384338,0.002393631424222775,0.1331392415932246,0.2662983894348143,0.3805768191814422,-0.05386613862855083,0.1370854692799704,-0.356064405611583,0.972254753112793,-0.007286947965621904,0.13551913755280626,0.22103028510298034,0.3828841149806976,-0.0511134411607469,0.13280578085354394,-0.3164551147392816,0.9600805044174194,-0.007769059283392776,0.12975507378578183,0.2371093945843831,0.3831642866134643,0.008972781896591231,0.12588402288300654,-0.17575857852186466,0.998681902885437,0.019674889530454376,0.12671339426721845,0.17553214515958504,0.9957726001739502,0.009727339233670973,0.21823881268501272,-0.161050351176943,0.9571890830993652,0.010869016817637966,0.21864273122378747,0.17814107537269583,0.52903151512146,0.054019872631345445,0.3273604180131639,-0.13351882163967396,0.950097680091858,0.05274098004613603,0.3164301046303339,0.22720975833279733,0.5827049016952515,0.075746135200773,0.34505088755062635,-0.13711521199771323,0.8646145462989807,0.07131969162396024,0.33631550839969077,0.22607696396963925,0.5816199779510498,-0.02398788503238125,0.34829782502991796,-0.26526814103126506,0.9494091272354126,-0.012519297429493426,0.3361995739596229,0.1453770373548779,0.6801004409790039
9,-0.059620116438184434,-0.032642495632171586,0.023616953566670318,0.9996306300163268,-0.0504862785339355,-0.04133115240505758,-0.006702935642429705,0.999609649181366,-0.0480592148644583,-0.04168372154235833,-0.0067881870216556645,0.9996492266654968,-0.04566909585680279,-0.0420311084815434,-0.006806968152522988,0.999695897102356,-0.05247529234204973,-0.04124871066638397,0.04312896175043917,0.9994668960571288,-0.05129339354378837,-0.04159098523003707,0.04316968162144928,0.9993507266044616,-0.04994203192847113,-0.04196810126304623,0.043081629808459886,0.999385952949524,-0.026941892078944596,-0.0391801331724439,-0.09178197192294248,0.9996500015258788,-0.02902577263968331,-0.03873375228473114,0.13026281722954328,0.9987378716468812,-0.05048786401748662,-0.025216772726603887,-0.001971151234465594,0.9994369149208068,-0.053058738367898095,-0.0249351790973118,0.0618550032377242,0.9990322589874268,-0.0059431246348790046,-0.004271487678800312,-0.26881811278206946,0.9999755024909972,0.0059431246348790046,0.004271487678800312,0.29135540468352167,0.9985584020614624,0.003049291883196137,0.05545012184551784,-0.3570385975497108,0.9936332106590272,0.031304015432085275,0.07128050838197975,0.33608185904366616,0.3543264865875244,-0.03823877573013301,0.11930063792637419,-0.3239233851432799,0.9870761632919312,0.0027321168354579317,0.12279265097209385,0.2566914013453891,0.3501959443092346,-0.04637890543256484,0.1380083816392081,-0.36738378661019444,0.9743030667304992,-0.003115143094744033,0.13519318103790284,0.2610580478395733,0.3469020426273346,-0.05388906172343666,0.1378175599234444,-0.3563066772052218,0.9726341962814332,-0.008549514838627426,0.1350419163703918,0.21431229582854666,0.3491598963737488,-0.05109431403023856,0.1335397771426609,-0.315611843551908,0.9599393010139464,-0.010797750949859686,0.13023706674575802,0.23230372667312607,0.3498498201370239,0.009248268604278631,0.1260108896664211,-0.1737063143934521,0.9986977577209472,0.01873637608119416,0.12706998075757708,0.1734929404088428,0.995642364025116,0.009882029465266617,0.21877004419054297,-0.1571881924356732,0.9548206925392152,0.010907660211835535,0.21904018947056353,0.17384232325213284,0.4997832179069519,0.0535098161016192,0.3272425327982221,-0.124075567296573,0.948914110660553,0.05339275598525994,0.31650639091219207,0.2241250676768165,0.5608371496200562,0.07441716534750797,0.3444933772087096,-0.12732987127133766,0.8679960370063782,0.07145803655896865,0.3363782916750225,0.22304532570498312,0.5748074054718018,-0.02436419044222149,0.34808653763362324,-0.257083795751844,0.9480352401733398,-0.010779626028878275,0.3369138002395629,0.13893144471304747,0.6664048433303833
